offense,number,cleared,cleared_under_18,month,year
a. Rape by Force,58,16,1,8,2020
b. Attempts to commit Forcible Rape,2,,,8,2020
3. Robbery Total,212,34,4,8,2020
a. Firearm,83,8,1,8,2020
b. Knife or Cutting Instrument,18,4,,8,2020
c. Other Dangerous Weapon,18,3,,8,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",93,19,3,8,2020
4. Assault Total,"2,644","1,658",45,8,2020
a. Firearm,124,19,,8,2020
b. Knife or Cutting Instrument,89,61,1,8,2020
c. Other Dangerous Weapon,115,60,,8,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",69,47,,8,2020
Aggravated Assault Total,397,187,1,8,2020
"4e. Other Assaults - Simple, Not Aggravated","2,247","1,471",44,8,2020
5. Burglary Total,691,93,8,8,2020
a. Forcible Entry,382,51,2,8,2020
b. Unlawful Entry - No Force,225,34,6,8,2020
c. Attempted Forcible Entry,84,8,,8,2020
6. Larceny - Theft Total,"4,013",499,14,8,2020
7. Motor Vehicle Theft Total,899,47,11,8,2020
a. Autos,807,38,9,8,2020
b. Trucks and Buses,12,1,,8,2020
c. Other Vehicles,80,8,2,8,2020
8. Arson,23,5,1,8,2020
9. Human Trafficking - Commercial Sex Act,,,,8,2020
10. Human Trafficking - Involuntary Servitude,,,,8,2020
Grand Total,"8,560","2,362",85,8,2020
Index Violent Crime,687,246,7,8,2020
Index Property Crime,"5,626",644,34,8,2020
Part I Crime (Index Crime),"6,313",890,41,8,2020
1. Criminal Homicide,10,10,,9,2020
a. Murder and Nonnegligent Homicide,10,7,,9,2020
b. Manslaughter by Negligence,,3,,9,2020
2. Forcible Rape Total,45,17,1,9,2020
a. Rape by Force,42,15,1,9,2020
b. Attempts to commit Forcible Rape,3,2,,9,2020
3. Robbery Total,193,54,4,9,2020
a. Firearm,65,15,,9,2020
b. Knife or Cutting Instrument,21,7,2,9,2020
c. Other Dangerous Weapon,25,5,,9,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",82,27,2,9,2020
4. Assault Total,"2,518","1,651",54,9,2020
a. Firearm,88,28,3,9,2020
b. Knife or Cutting Instrument,87,61,4,9,2020
c. Other Dangerous Weapon,112,75,,9,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",70,53,1,9,2020
Aggravated Assault Total,357,217,8,9,2020
"4e. Other Assaults - Simple, Not Aggravated","2,161","1,434",46,9,2020
5. Burglary Total,626,97,1,9,2020
a. Forcible Entry,333,56,1,9,2020
b. Unlawful Entry - No Force,205,31,,9,2020
c. Attempted Forcible Entry,88,10,,9,2020
6. Larceny - Theft Total,"3,968",554,15,9,2020
7. Motor Vehicle Theft Total,721,73,16,9,2020
a. Autos,646,67,14,9,2020
b. Trucks and Buses,7,3,,9,2020
c. Other Vehicles,68,3,2,9,2020
8. Arson,15,2,,9,2020
9. Human Trafficking - Commercial Sex Act,1,,,9,2020
10. Human Trafficking - Involuntary Servitude,,,,9,2020
Grand Total,"8,097","2,458",91,9,2020
Index Violent Crime,605,295,13,9,2020
Index Property Crime,"5,330",726,32,9,2020
Part I Crime (Index Crime),"5,935","1,021",45,9,2020
1. Criminal Homicide,20,8,,10,2020
a. Murder and Nonnegligent Homicide,18,6,,10,2020
b. Manslaughter by Negligence,2,2,,10,2020
2. Forcible Rape Total,46,12,4,10,2020
a. Rape by Force,46,11,4,10,2020
b. Attempts to commit Forcible Rape,,1,,10,2020
3. Robbery Total,226,56,6,10,2020
a. Firearm,92,16,3,10,2020
b. Knife or Cutting Instrument,25,7,,10,2020
c. Other Dangerous Weapon,24,6,1,10,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",85,27,2,10,2020
4. Assault Total,"2,478","1,612",53,10,2020
a. Firearm,112,13,1,10,2020
b. Knife or Cutting Instrument,78,56,2,10,2020
c. Other Dangerous Weapon,133,78,1,10,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",52,36,,10,2020
Aggravated Assault Total,375,183,4,10,2020
"4e. Other Assaults - Simple, Not Aggravated","2,103","1,429",49,10,2020
5. Burglary Total,655,151,5,10,2020
a. Forcible Entry,374,99,1,10,2020
b. Unlawful Entry - No Force,215,42,2,10,2020
c. Attempted Forcible Entry,66,10,2,10,2020
6. Larceny - Theft Total,"3,959",548,15,10,2020
7. Motor Vehicle Theft Total,737,62,17,10,2020
a. Autos,663,55,14,10,2020
b. Trucks and Buses,8,2,,10,2020
c. Other Vehicles,66,5,3,10,2020
8. Arson,20,2,,10,2020
9. Human Trafficking - Commercial Sex Act,1,,,10,2020
10. Human Trafficking - Involuntary Servitude,,,,10,2020
Grand Total,"8,142","2,451",100,10,2020
Index Violent Crime,665,257,14,10,2020
Index Property Crime,"5,371",763,37,10,2020
Part I Crime (Index Crime),"6,036","1,020",51,10,2020
1. Criminal Homicide,9,5,,11,2020
a. Murder and Nonnegligent Homicide,7,5,,11,2020
b. Manslaughter by Negligence,2,,,11,2020
2. Forcible Rape Total,35,20,3,11,2020
a. Rape by Force,34,20,3,11,2020
b. Attempts to commit Forcible Rape,1,,,11,2020
3. Robbery Total,171,45,2,11,2020
a. Firearm,63,14,,11,2020
b. Knife or Cutting Instrument,21,5,,11,2020
c. Other Dangerous Weapon,19,5,,11,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",68,21,2,11,2020
4. Assault Total,"2,104","1,432",43,11,2020
a. Firearm,65,20,2,11,2020
b. Knife or Cutting Instrument,55,27,2,11,2020
c. Other Dangerous Weapon,69,34,,11,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",53,33,1,11,2020
Aggravated Assault Total,242,114,5,11,2020
"4e. Other Assaults - Simple, Not Aggravated","1,862","1,318",38,11,2020
5. Burglary Total,607,70,1,11,2020
a. Forcible Entry,349,36,,11,2020
b. Unlawful Entry - No Force,187,24,1,11,2020
c. Attempted Forcible Entry,71,10,,11,2020
6. Larceny - Theft Total,"3,696",466,17,11,2020
7. Motor Vehicle Theft Total,881,50,11,11,2020
a. Autos,831,46,10,11,2020
b. Trucks and Buses,6,1,,11,2020
c. Other Vehicles,44,3,1,11,2020
8. Arson,18,6,2,11,2020
9. Human Trafficking - Commercial Sex Act,,,,11,2020
10. Human Trafficking - Involuntary Servitude,,,,11,2020
Grand Total,"7,521","2,094",79,11,2020
Index Violent Crime,455,184,10,11,2020
Index Property Crime,"5,202",592,31,11,2020
Part I Crime (Index Crime),"5,657",776,41,11,2020
1. Criminal Homicide,14,11,,12,2020
a. Murder and Nonnegligent Homicide,14,8,,12,2020
b. Manslaughter by Negligence,,3,,12,2020
2. Forcible Rape Total,42,10,1,12,2020
a. Rape by Force,41,10,1,12,2020
b. Attempts to commit Forcible Rape,1,,,12,2020
3. Robbery Total,214,42,2,12,2020
a. Firearm,102,8,,12,2020
b. Knife or Cutting Instrument,11,6,,12,2020
c. Other Dangerous Weapon,23,5,,12,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",78,23,2,12,2020
4. Assault Total,"2,119","1,418",47,12,2020
a. Firearm,73,18,2,12,2020
b. Knife or Cutting Instrument,60,43,1,12,2020
c. Other Dangerous Weapon,90,49,4,12,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",56,33,2,12,2020
Aggravated Assault Total,279,143,9,12,2020
"4e. Other Assaults - Simple, Not Aggravated","1,840","1,275",38,12,2020
5. Burglary Total,568,88,6,12,2020
a. Forcible Entry,339,53,3,12,2020
b. Unlawful Entry - No Force,164,27,2,12,2020
c. Attempted Forcible Entry,65,8,1,12,2020
6. Larceny - Theft Total,"3,691",522,14,12,2020
7. Motor Vehicle Theft Total,791,56,18,12,2020
a. Autos,772,54,18,12,2020
b. Trucks and Buses,5,,,12,2020
c. Other Vehicles,14,2,,12,2020
8. Arson,16,2,1,12,2020
9. Human Trafficking - Commercial Sex Act,2,,,12,2020
10. Human Trafficking - Involuntary Servitude,,,,12,2020
Grand Total,"7,457","2,149",89,12,2020
Index Violent Crime,549,203,12,12,2020
Index Property Crime,"5,066",668,39,12,2020
Part I Crime (Index Crime),"5,615",871,51,12,2020
